sentiment,xie_hou_yu
3,屎學仔空兮石頭－臭閣碇
3,屎桶五分淀－半筒屎仔
3,屎桶五分滇－(半桶屎仔)半桶師仔
3,屎桶太淺－(拄卵)賭爛
3,屎桶開花－(屎大了)事大了
3,屎桶開花－屎大(事大)
1,屎礐仔內撈屎－真便
1,屎礐仔內舀屎－盡便(真便)
1,屎礐仔內舀肥－盡便(真便)
3,屎礐仔蟲死了了－變無蠓
3,山河仔食鹼粽－硬吞
3,山河食肉綜－硬吞
3,山猴變猴弄－卡變嘛迄幾步
3,山猴變猴戲－無幾步
3,山頂挖古井－出戇力
3,山頂水窟－愛乾
1,崁跤放屎－下屎(會使)
1,崁骹放屎－下屎(會使)
2,巡查兮細弟－小人
2,巡查的細弟－小人
2,布袋仔哭老爸－想著錢
2,布袋戲旭仔師－大小骹
3,布袋戲演出－幕後有人
2,帝爺公童乩－事事介在汝家己
3,師公他兜火燒茨－朆嚷咧
3,師公吹法螺－嚇鬼
3,師公唸咒－(呼神)風神
3,師公唸咒－死訣
3,師公壇有鬼－無可能
2,師公的囊袋仔－(袋符仔)弟婦仔
1,師公糊紙－嘆吃相瓦
1,帶巷仔內兮－內行兮
2,年尾無返去茨－無某
3,幼稚園招生－(老不收)老不修
3,幼稚園招生－老不收(老不修)
3,幼齒嫁老尪－足醜消
3,底片走光－無影
3,座骹鑼鼓陣－(咚咚喳)冬冬慘
2,庭鶖仔拍手槍－有紀錄喔
2,廣東目鏡，在人合目－適與不適，隨人不同
2,廣東目鏡－在人佮目
2,廣東目鏡－在人合意
3,廳掛茭苴－毋是畫(毋是話)
2,廳頭吊聯－看款
3,弄破鴨蛋－(抔仁)不仁
2,張天師落海－(摸怪)莫怪
2,張天師落海－摸怪(莫怪)
3,張飛穿針－大眼瞪小眼
1,彌勒佛－好笑神
1,彭祖拄著老壽星－各有千秋
2,彰化社頭－(蕭一半)𤞚一半
3,彰化鹿港－(施一半)死一半
3,徛飛魚放屁－臭氣衝天
3,恁兜賣火炭－(烏鼻孔)黑白講
3,恁厝賣火炭－烏鼻管(烏白講)
2,恆春設機場－有機可乘
2,恩主公啉燒酒－看袂出來
2,惠安喳某的褲－巧寬寬
3,愚人拜公媽－那看那無來食
2,愚人攑槍－罔踅
3,慢牛過溪－厚屎尿
2,憨標給人倩哭－攏嘛為著錢
1,憨狗松嫁查娒囝－看貨
3,戇人拜公媽－愈看愈袂來食
1,戇囝婿食水熏吹－熏到茶也到
1,戇子婿食水薰吹－薰到茶也到
3,戇小子呣懂冰糖－(好礬)好煩
3,戇蠓叮神明－無震動著
1,成吉思汗放屁－有元氣
3,戲棚頂兮翁仔某－有名無實
3,戲棚頂尪某－有名無實
3,戲棚頂的皇帝－做無久
3,戴火炭籠－做烏龜
3,戴火炭籠－烏胿(烏龜)
2,房裡呣見對面孝－失鏡(失敬)
2,房裡毋見對面孝－失鏡(失敬)
3,扁擔削做尺－大材小用
3,手尾錢－死人款
3,扑呣見藥單－註死
3,扑手槍－律師
3,扑毋見藥單－註死
3,扑賣貨底－凊採講講咧
3,抓鹽豉心肝－豉心(死心)
3,抹粉入棺材－死也愛兮面底皮
3,押日本人飲酒－(大矸)大奸
3,抽籤入浴間－鬮洗(摳洗)
3,抽籤洗身軀－樞洗
3,抾石頭吒路－斷路
3,拍賣貨底－清採講講咧
3,拔落屎礐仔－臭人
3,拳王失約－阿里不達
3,拳頭師父相扑－無照步來
3,拳頭拇扑蛟蚤－有力使袂出
3,捧糖仔無洗手－黏漓漓
3,捧糖無洗手－糖甘甜
2,掖尾狗－(假鹿)假樂
3,掠免仔－要吐
3,掠兔仔－吐
3,掠鴨母生蛋－梟尻川
1,接骨師傅－鬥跤(腳)手
1,接骨師父－箌骰手
1,接骨師父－鬥跤手
1,接骨師父－𫔡手腳
3,接骨館看做排骨飯－差遠囉
3,控鼻屎食－鹹鹹
3,提火炭做枕頭－(烏頸)烏龜
3,提薑母拭目墘－假哭
3,提薑母拭目睭－假哭
3,插雉雞尾－假番
1,摸蜊仔兼洗褲－一兼二顧
1,摸蜊仔兼洗褲－順煞工
1,摸蜊仔兼洗褲－順續工
1,摸蜊兼洗褲－一兼二顧(順煞工)
3,撿石頭擋路－絕交
3,擔屎朆偷吃－假古意
3,擔山填海－了憨工
3,擔柴入山－顛倒摒
3,擔沙坉海－無採工
3,擔沙填海－了戇工
3,擔肥去市場－(賣屎)朆使
3,擔肥去市場－賣屎(袂使)
3,攏是汝害兮－怨汝(苑裡)
2,攏褲過溪－大潦(大寮)
2,攑刀切肉－蹽落去
2,攑刀割肉－戮落去
1,攑竹篙入城－直來直去
1,攑竹篙入城－直來直往
1,攑箭拜觀音－(射神)謝神
2,攑量仔量棺柴－(大鈎棺)大交關
2,攑量仔，量棺材－大交棺(大交關)
1,攑鋤頭，耙心肝－清心
1,放尿搣鹹菜－順續工
3,放尿攪沙－朆做堆
3,放屁攪沙－袂做堆
3,放屁脫褲－多此一舉
3,放屎佇路中央－屎橫(使橫)
3,放屎向東－屎汝後壁(駛汝後壁)
2,放屎無拭尻川－無理解
2,放屎躡跤尾－大蹲(大墩)
2,放屎躡骹尾－大蹲、大墩
2,敏捷仙禁尿－朆呣是擔朆
1,教授看易經－一本正經
3,教練機仔翻畚斗－顛倒是非
1,整棵好好－沒剉(沒有錯)
1,整棵好好－無剉(無錯)
3,數簿扑毋見去－袂見數(袂見笑)
1,文王拖車－一步一步好
2,斑鳩哮－(咕咕咕)久久久
2,斑鴿哮－咕咕咕(久久久)
2,斧頭有𫔡柄－好攑(好額)
3,新來新娘，月內幼子－僫款待
1,新埔椪柑－上好
1,新埔碰柑－上好
1,新埔膨柑－上好
3,新娘守空房－有孔無榫
2,新娘洗無身軀－佮銑(甲仙)
2,新娘無洗身軀－佮鉎(甲仙)
3,新娘等空房－有空無榫
2,新婦不孝－公投
3,新婦見大家－(拜了)敗了
3,新婦跟大倌借錢－挪用公款
2,新烘爐新茶鹽－熱滾滾
1,新被送牽手－好妻甲(好差教)
1,新被送牽手－好妻蓋(好差教)
2,斷線風吹－無牽無掛
1,旗山弓蕉－隱的(穩的)
1,旗山芎蕉－薀兮(穩兮)
3,日時點燈火行路－社會黑暗
3,日本人叫陳老師－真鹵死
3,日本人叫陳鬧獅－真魯死
3,日本人扑呣見紛鳥－(無哈度)無法
3,日本人的分多式－(假酷)假酷
3,日本人的刨刀－顛倒刨
3,日本人縖粉島氏－假褲(假庫)
1,日本保正－好勢
3,日本凊飯－壽司(輸死)
3,日本壽司－輸死
1,日本清飯－(壽司)四是
3,日本清飯－(壽司)輸死
3,日本美食－給伊死
3,日本藝妲－大色
3,日本銅鼎仔－無臍(無才)
3,日本銅鼎－(無臍)無才
3,日本鼓吹－噠噠知
1,日落西山－上紅
2,春天的莫子園－(有桃李)有道理
3,春景仔兮老父－戇尚(戇想)
3,暗房穿針－難過
3,暗時走路－無影
3,暝尾戲－冷場
3,曲痀兮扑拳頭－食力閣歹看
3,曲痀兮拋車輪－食力閣歹看
3,曲痀兮放屁－彎彎曲曲
2,曲痀兮相偃－歹勢
3,曲痀兮跋落海－彎泅(冤仇)
3,曲痀馬－駱駝(樂逃)
1,會社故障－無剉(無錯)
3,月娘下看影－家治看，家治大
3,月娘下看影－那看那大
1,有(竹到)柄－(好櫸)好額
3,有應公仔童乩－講鬼話
2,有應公廟兮象杯－結相黏
2,有應公廟的象杯－結做伙
2,有應公廟的象杯－結相黏
2,有應公廟的象桮－結相黏
3,有應公童乩－講鬼話
3,有棺柴無靈位－虛有其表
2,有鬥柄－好舉(好額)
3,木師仔鋸柴箍－(東一鋸、西一鋸)東一句、西一句
3,木蝨－食客
3,未曾燒香扑斷佛手－青狂
3,未生囝先號名－本末倒置
3,本山人－散仙
2,朴仔跤樹豆－有限
3,朴仔跤香爐－大耳
2,朴仔骹樹豆－有限
3,朴仔骹香爐－大耳
3,杉仔行－(柴多咧)差多咧
3,李鐵柺學狗吠－狗聲乞食喉
2,村長甩撚骰仔－緊著看無
3,村長看批－可惜
3,杜康過身－酒鬼
3,杭州客－對半說
3,東埔戇衙門－無咧聽
3,東埔的巡查－(松本)傷本
3,東埔蚋衙門－無塊聽
2,松山機場－內航的
3,林投葉拭屍川－去倒裂
3,林生財－下骹呰條
3,柄著卵屍－呣知頭尾
2,柑仔入倉庫－柑倉(疳瘡)
3,染布放尿－椴青(裝蒜)
3,染布的放屎－戳星
2,查娒人喙齒－(女牙)汝的
3,查娒人放尿－(大喳)大差
2,查娒人褪衫－(現乳)現拿
2,查娒人飼雞－珠珠
1,查娒俾嫁大爺－好名聲
1,查娒囝大漢－好嫁(好價)
1,查娒囝，嫁大爺－好名聲
1,查娒囡仔大漢－(好嫁)好價
2,查娒囡仔褪腹裼－現奶(現拈)
2,查娒𡢃仔捾肉－生看熟無份
2,查娒𡢃，管鎖匙－會用呰當家，𣍐用呰做主
2,查娒𡢃，食凊糜－認路(認份)
2,查某人份會仔－頭份
2,查某人喙齒－女牙(你的)
2,查某人喙齒－女牙(汝兮)
2,查某人飼雞－珠珠
2,查某囝仔褪剝裼－現奶(現拈)
1,查某囝大漢－好嫁(好價)
1,查某囝嫁大爺－好名聲
2,查某嫺仔捾肉－生看，熟無份
2,查某嫺仔管鎖匙－會用得當家，袂用得做主
2,查某嫺食凊糜－認份
3,查甫人夢洩－走精
2,查甫人放尿－㧡頭仔
2,查甫人放尿－晃頭(仔)
3,查甫人穿奶押仔－朆博假博
3,查甫人踞咧啉酒－龜綏
2,校長無來－隨人食家己
1,桌頂拈柑－真簡單
1,桌頂的桌布－(搵起)穩起
3,桶箍煏開－散了
3,棉紗浸水－歹紡
1,棉被內放屁－(獨響)獨享
1,棉被內放屁－(能聞能摀)能文能武
3,棍仔摃銅鑼－倥倥
3,棕蓑胡螓－(食毛)食無
3,棕蓑胡蠅－食毛(食無)
3,棚頂兮皇帝－做袂久
3,棚頂的皇帝－做無久
2,棺木底水－樂歡
3,棺材內伸手－死愛錢
3,棺材內唱曲－毋知死活
3,棺材內老鼠－驚死人
3,棺材內老鼠－齪死人
3,棺材店內咬牙－恨汝袂死
2,棺柴內叫醫生－死裡求生
3,棺柴內唱歌－呣知死活
3,棺柴底伸手－死愛錢
3,棺柴底唱歌－呣知死活
3,棺柴底煉豬油－(死炸)死諍
3,棺柴底辯話骨－死諍
3,棺柴底鳥鼠－吵死人
2,棺柴漏底－(漏板)老闆
3,棺柴頂黏尪仔－朆堪得玩
2,椅仔儕人坐－大寮
1,楊貴妃唱歌－有聲有色
1,楠仔坑布店－廣安(公安)
3,樟腦寮蠓罩－厚操煩
3,樹林內放風吹－紇紇纏
3,樹林內放風吹－纏椆椆
3,橐袋仔四角－無錢
2,機關囥佇倉庫－其中必有緣故
2,機關安佇倉庫－其中必有緣故
2,機關藏佇倉庫－其中必有緣故
3,檨仔在欉黃的－無穩
1,檨仔毋是在欉黃的－隱的(穩的)
3,欲食免想－別想
3,武器外銷－出口傷人
3,歪喙仔照鏡－(現醜)獻醜
3,歪喙兮照鏡－袂看得
3,歸張報紙畫一個觀音鼻－大面神
3,歸張紙畫一尊觀音－大面神
2,歸暝嘸睏－通霄
1,歸欉好好－無剉(無錯)
1,歸欉樹仔好好－(無剉)無錯
3,歸身蓋棉被－無頭無面
2,歹看面兮－面雄(民雄)
2,歹看面－面雄
3,死人化妝－有死人扮(有死人範)
3,死人化粧－死愛面子
3,死囝仔墓－無向
3,死囡仔墓－(無向)無盼
3,死狗做墓－無名無姓
3,死蛇活尾溜－死趖
3,死蛇－朆翻身
3,死蛇－袂反身
1,毋是在欉黃－蘊兮(穩兮)
3,毛蟹行路－橫行
3,水仙無開花－裝蒜
2,水晶目鏡－在人合目
1,水流破布－穩濕(穩濕)
3,水淹到頷頸－拄著
3,水淹到頸部－拄著
3,水牛拖屎－歹運
3,水牛腹肚－草包
3,水牛過溪－厚屎尿
3,水肥車排歸列－(拖屎連)拖屎憐
3,水肥車排歸列－拖屎連
3,水蛙生尾－假龜
3,水蛙的阿兄－青(虫約)仔
3,水蛙跳落魚池－(噗通)不通
3,水雞發尾－假龜
1,水鬼升城隍－升格
1,水鬼變城隍－高升
3,水鬼騙城隍－騙內行人
3,永靖枝仔冰－冷冷硬硬
3,河溪厝巡查－松本(嵩本)
3,泉州人賣米粉－無汝份
1,法蘭西水－食一點氣
3,泥苔薩洗面－(濕面子)失面子
2,洞簫吊喙鬚－震動甩
2,洞簫掛鬚－振動晃
2,洞簫掛鬚－津蕩㧡
2,海口囡仔拔牌仔－無插
3,海口查某－厚沙蝨(厚沙圾)
1,海底種蔥－根底深
3,海結仔無抹油－崁頭崁面
3,海結仔無抹油－憨頭憨面
3,海龍王辭水－假細膩
3,浸水烏糖－溶了了
3,浸水綿紗－歹紡
1,添丁進財－加人加福氣
1,清明無轉去茨－(無祖)無阻
3,溝底蜈蚣－無目睭
3,溪底兮蕃薯－免摳洗
3,溪底的蕃薯－免摳洗
3,溪沙埔扑干轆－扑袂行
1,溫罐破空－漏熱(鬧熱)
2,滬尾油車－斗量有限
2,滬尾油車－豆量有限(斗量有限)
3,滿面全豆花－歹看
1,演武亭兮厝鳥仔－三門銃無搭嚇
1,演武亭的茨角鳥仔－呣驚銃
1,演武埕的茨鳥仔－三門銃無膽嚇
3,澎湖菜瓜－(十棯)雜唸
3,澎湖菜瓜－十稜(雜唸)
3,澎湖鵁鷦－無情無義
3,澎湖鵁鷦－無義
3,濁水溪放草魚－無採工
3,濫鳥入烏豆－假目(假捌)
3,火燒乞食寮－禍不單行
2,火燒厝－厝味(趣味)
2,火燒墓仔埔－(燻鬼)煙鬼
2,火燒墓仔埔－煙鬼
2,火燒墓仔埔－熏鬼
2,火燒墓仔埔－薰鬼
2,火燒墓仔埔－薰鬼(菸鬼)
3,火燒東港－(全無網)全無望
1,火燒林投－朆死心
1,火燒林投－袂死心
1,火燒林投－𣍐死心
3,火燒甘蔗園－(無葉)無合
3,火燒甘蔗園－無合
2,火燒目眉－眼前的事
3,火燒目睭毛－目空赤
2,火燒相館－(燒相)相同
2,火燒竹仔林－(無竹殼)無的確
2,火燒竹林－無竹殼(無的確)
1,火燒紅蓮寺－(廟災)妙哉
3,火燒網仔寮－(無網)無望
3,火燒罟寮－無網(無望)
2,火燒茨－茨味(趣味)
3,火燒茶鈷店－落綏
3,火燒草埔－無救
2,火燒豬頭－半面相熟
2,火燒豬頭－面熟
3,火燒銀紙店－劃給土地公
2,火燒雞寮佮豬牢－芳貢貢
2,火燒雞寮－芳貢貢
3,火葬場兮大鼎－沖沖滾
3,火葬場兮大鼎－炒死人(吵死人)
3,火葬場的大鼎－(炒死人)吵死人
3,火車嚎憑久仔－(越響越氣)越想越氣
3,火車行到基隆尾－盡磅
3,火車輾塗豆－破格
3,火車頭出煙－白氣
3,灶君上天庭－(灶話)奏話
3,灶君公上天－奏好歹話
2,灶孔炰田蛤－燒蛤(相合)
2,灶空炰田蛤－燒蛤(相佮)
2,灶空炰田蛤－燒蛤(相欱)
3,灶空炰鱔魚－燒鰻(相瞞)
3,灶骹的桌布－揩油
1,炒熟的蝦仔－(紅仁)紅人
3,炮仔浸水－一聲不響
3,烏人繪烏人－無影無跡
3,烏人食火炭－烏食烏
1,烏仔魚箭水－呣認輸
1,烏仔魚箭水－毋認輸
3,烏卒仔過河－撈過界
3,烏牛大影－好看無好食
2,烏矸仔貯豆油－無底看
2,烏矸仔貯豆油－看攏無
2,烏矸仔貯豆油－看朆出來
2,烏矸仔貯醬油－看袂出來
2,烏矸仔，貯豆油－無地看、看𣍐出
3,烏糖攪泔－米糕稠
3,烏糖浸水－溶了了
2,烏雞母生白雞蛋－無稀奇
2,烏雞生白雞蛋－事實如此
1,烏魚箭水－呣認輸
3,烏鶖騎水牛－無四配
3,烏鶖騎水牛－無庶配
2,烏龜相扑－看誰硬
3,烏龜碰著壁－罔掠
2,烘田蛤仔－(燒蛤)相害
3,烘鱔魚－(燒鰻)相瞞
3,無刀刣王梨－咬目
3,無刀削鳳梨－(咬目)礙目
3,無囥發粉－無發(無法)
3,無奶假病子－裝暢
3,無崁牛喙檻－亂食
3,無桊鼻的牛－(亂竄)亂闖
3,無牙仔唸祭文－含糊其詞
2,無牙仔食甘蔗－加減舔
1,無牙仔食豆腐－拄拄好
2,無牙的食甘蔗－加減吮
2,無牙的食甘蔗－加減賺
2,無牙的食甘蔗－加減饌
2,無牙食甘蔗－加減舐
3,無牛駛馬－不得已
3,無牛駛馬－暫度
3,無貫牛鼻－亂闖
1,無齒食豆腐－拄仔好
3,煌仙仔拔喙齒－七拔八拔
3,煌先兮挽喙齒－七掣八掣
3,煙囪栱破孔－(歹栱)歹講
3,煙筒崁蓋－袂衝
3,煙筒破空－歹管(歹講)
2,煙筒管吊八粒李仔－八李熏(八里坌)
2,煙筒管吊八粒李仔－八李薰(八里坌)
1,熅罐破孔－漏熱(鬧熱)
3,熱天穿皮裘－呣是時陣
3,熱天穿皮裘－毋是時陣
3,燈火尾在倒光－迴光反照
3,燈火尾𥍉倒光－迴光反照
1,燒鼎炒蝦仔－連蹦帶跳
3,牛牽到北京嘛是牛－朆變
3,牛肉灌水－沓滴
3,牛蜱－有入無出
3,牛角內兮蟲－硬鑽
3,牛角內的蟲－硬鑽
1,牛觸親姆－對對
3,牛踏破塗豆－破格
3,牛面前讀經－無採喙
3,牛面前讀經－無採喙口水
1,牛頭牛角－穩篤篤(一定會)
3,牛鼻拄著賊手－去矣
3,牽草寮土地－守鬼(酒鬼)
1,牽被蓋骹－拄仔好
3,牽豬哥兮－趁暢
3,牽豬哥扑呣見錢－無採洨
3,牽豬哥－趁暢
2,牽辯護仔－賴仔榮(偌仔閒)
2,牽辯護仔－賴仔榮、偌仔閑
3,犀牛照角－見面就觸
3,犀牛照角－見面著觸
3,犯人押到教場埔－無頭路
3,犯人押到甲場埔－無頭路
2,犯人開晏會－牢樂(勞碌)
2,犯人開暗會－牢樂(勞碌)
3,狗吠火車－無採工
3,狗吠火車－無路用
3,狗吠雷－無採工
3,狗吠飛鳥－無採工
3,狗咬烏龜－𢱆無頭
3,狗咬老鼠－管閒仔事
3,狗咬鳥鼠－管閒事
3,狗母放尿－軟跤
3,狗舐淺盤－鼻有食無
3,狗舐煎盤－鼻有食無
2,狗蟻上樹－隨人爬
2,狗蟻爬樹－隨人𬦰
3,狗蟻跋落鼎－炒死(吵死)
3,狗頭抹屎－鼻有食無
3,狗頭滴著麻油滓－食朆著
3,狗頭滴著麻油滓－鼻有食無
3,狗食秫米－無變
3,狗食糯米－朆變
3,狗食麥片－袂消化
3,狗食麥片－食朆消
2,猛日曝菜脯－快乾(快官)
2,猛日曝菜脯－快乾、快官
3,猴叫豬哥－師弟(輸儕)
3,猴猻仔提果子－袂留得
3,猴穿衫－仝款歹看
3,猴穿衫－成人
2,猴繞桶－尾步
2,猴蜇桶－上尾步
2,猴踅桶－上尾步
3,猴齊天做投手－(豬哥承)豬哥神
3,猴𬦰上旗竿頂－盡磅
1,獨眼龍看戲－一目了然
1,獨臂將軍－有一手
3,王公數簿－大冊
2,王字減一畫－出土
3,王見王－(死棋)死期
3,王見王－死棋(死期)
1,玻璃矸仔貯豆油－看現現
3,瓜笠仔扑呣見去－(帽失)冒失
3,甕仔底煤龜－龜跤趖出來
3,甘蔗歸枝咬－無斬節
3,甘蔗歸枝囓－無鏨節(無暫節)
3,甘蔗無剝葉－無目
3,生理人擔大肥－(賣屎)朆使
3,生理人擔大肥－賣屎(袂使)
2,生薑搵白醋－薟佫酸
3,產婆摸尻川－外行
3,用林投葉拭尻川－去倒裂
3,用火炭做枕頭－(烏頸)烏龜
3,用火炭做枕頭－鳥胿(烏龜)
3,用矸仔承雨水－(矸承)奸臣
3,用酒研仔承雨水－矸承(奸臣)
3,用酒訐仔承雨水－(訐承)奸臣
3,用麵線網鴨母－一去無回
1,田中央起廟－(種宮)正經
1,田中起廟－種宮(正經)
1,田中間建廟－種宮(正經)
3,田嬰經著蜘蛛網－真不幸
3,田寮仔的土地公－(守仙)酒仙
3,田蛉稽著蜘蛛網－真不幸
3,田蛤仔攬芋莖－蕩拐
2,田螺含水過冬－候時機
2,田螺含水過冬－待時機
2,田螺唅水度過冬－候時機
2,田螺趖過－有痕
2,甲乙仔割韭菜－底仔夭有
1,畢業紀念相－百面
1,畢業證書－出師表
3,番仔上天－裝痟兮
1,番仔哭老爸－密拄密
3,番仔牛－(無桊鼻)無管制
3,番仔銅鼎仔－無臍(無才)
3,番仔銅鼎－(無臍)無才
1,番薯煠米糜－好添(好天)
3,番麥爛一爿－(半穗)半遂
1,畫眉點脂－面色好看
3,當衫仔褲買燒酒－顧喙無顧身
2,瘂口仔扑官司－用手比卡緊
3,瘂口仔食苦瓜－(有苦難言)有口難言
2,瘂口的談情說愛－比來比去
2,瘂口的談戀愛－比來比去
1,瘂口的𤆬娒－暢𠇺𣍐出聲
1,瘂口相唚－好吃無話講
2,瘂口相扑－是非難分
2,瘂口談情說愛－比來比去
1,瘂口讀冊－無問題
1,瘂口電影－有影無講
3,瘟痀仔泅水－(彎泅)冤仇
3,瘟痀他茨－(彎家)冤家
1,瘟痀娶大肚－合合
3,瘟痀扑拳頭－出力佫歹看
3,瘟痀放屁－(彎曲)冤屈
3,瘟痀放屁－(彎曲)冤曲
3,瘟痀朝天子－真歹看
2,瘟痀相偃－歹勢
3,瘟痀睏椅條－朆直
3,瘟痀翻畚斗－食力佫歹看
3,瘟痀跋落海－(彎泅)冤仇
3,瘟痀馬－(駱駝)樂逃
2,瘟痀駛落崎－(栽栽)知知
2,瘟痀騎駱駝－看朆出來
3,瘟痀－朆直
2,癩𰣻柏松－出名
2,癩𰣻柏松－出樠(出名)
3,癩𰣻食鶺雞－存範死
3,發條冗去－欠人捘
3,白布加落去染缸內－洗朆清氣
2,白布沾著黕仔膠－(歹洗)歹勢
2,白布淋著打馬膠－歹洗(歹勢)
2,白布淋著黕仔膠－歹洗(歹勢)
3,白布落落去染缸內－洗袂清
3,白矸仔貯墨水－烏到心
1,白矸仔貯清水－看透過
1,白矸仔貯豆油－看出出
2,白紙寫烏字－烏白分明
3,白薑搵醋－酸佫薟
3,白薑搵醋－酸閣薟
3,白賊七仔講古－騙戇人
1,百發百中－無呣著
1,百發百中－無毋著
2,百百款－萬金
3,皇帝兮尿壺－國鱉(各鱉)
3,皇帝尿壺－(國鼈)固執
2,皇帝的娒－(娘娘)涼涼
3,目睭皮無漿泔－有眼不識泰山
3,相豬－亥矣(害矣)
2,省主席－(省煮熟)沙西米
3,看三國演義流目屎－替古人擔憂
3,看人食包仔－喝燒
1,看俺公食雞胘－脆脆
3,看戲流目屎－替人擔憂
3,眠夢食黃蓮－想食苦
3,眠床跤放風吹－袂縱
3,眠床骹放風吹－朆衝
3,眠床骹歕鼓吹－低聲下氣
1,瞎眼的採八仔－穩當
3,矮人看戲－綴人扑搏仔
3,矮人𬦰厝頂－欠梯(欠推)
3,矮人𬦰壁－千梯(欠推)
1,矮人𬦰山－步步高升
3,矮仔人潦水－(拄卵)賭爛
1,矮仔人爬樓梯－步步高升
3,矮仔人爬茨頂－(欠梯)欠推
2,矮仔人看戲－聽聲
3,矮仔人看戲－跟人扑拍仔
3,矮仔人看戲－跟人曄
3,矮仔人騎馬－上下兩難
1,矮仔冬瓜𬦰樓梯－步步高升
1,矮仔𬦰樓梯－步步高升
3,石加路出來兮－戇番
3,石加路出來的－戇番
3,石壁槓鋼釘－硬拄硬
3,石壁釘鋼釘－硬拄硬
3,石敢當峙街－鎮路
3,石火唱歌－煩惱佫再煩腦
3,石火唱歌－煩惱朆了
3,石門水庫淹大水－擋朆稠
3,石門水庫淹大水－擋袂椆
3,砒霜食入腹－內割(利割)
3,破卡仔跋牌仔－食一隻象
3,破喇叭－朆歕咧
3,破棉績被－歹甲
3,破棉績－假氈(假精)
3,破烏魚子－無採公(無採工)
3,破甕內大龜－龜跤趖出來
3,破船拖入港－(漏不修)老不修
3,破船鎮港－漏不修(老不修)
3,破雨傘－興展
3,硞仔頭－無面子
3,硬脾－朆消化
3,碗公煎茶－擋朆稠
3,碗公煎茶－會裂開
2,神州城－假京(假驚)
2,神州城－假驚
2,神明跋落溝底－(流神)留神
2,福州城－(假京)假驚
2,福州城－假京(假驚)
3,禮義廉－無恥
1,禿仔駛噴射機－突飛猛進
2,禿頭出家做和尚－免費氣
3,秀才兮包袱仔－包書(包輸)
3,秀才手巾仔－(包書)包輸
3,秀才看遺書－讀死冊
3,秀才看遺言書－讀死册
1,秀才見官－(不跪)不貴
3,程鐵牛之死－哭父
3,種匏仔生菜瓜－有夠衰
3,稿紙寫到邊－無夠格
3,穩痀兮朝天子－歹看
3,穩痀兮死對年－袂直
2,穩痀兮穿長衫－崁跤
3,穩痀兮落崎－栽栽落(知知咧)
3,穩痀兮落樓梯－栽栽落(知知咧)
2,穩痀兮騎馬－看袂出來
1,穩痀兮鬥著大腹肚－峇峇
2,穩痀兮𬦰山－看袂出來
1,穩痀的娶大肚－都都好
3,空喙哺舌－食言
3,空心菜頭－會看朆食咧
3,空手撈魚－(無劉)無望
3,空手滹魚－無網(無望)
3,空腹肚唱歌－哭枵
3,穿䘥仔扭甲無䘼－本來著無
3,穿乃龍兮－看現現
3,穿尼龍的－看現現
3,穿背心拉到無袖－本來就無
2,立地成佛－放捨
2,立地成佛－放殺(放捨)
2,立地成佛－放殺(放棄)
2,立地成佛－放殺(放𢳪)
3,童叟無欺－騙中人
1,竹栱底夾土豆仁－一粒一
1,竹管仔底夾塗豆－一粒一
3,竹篙尾纏麵線－紇紇纏
1,竹篙尾貯水－水準提高
3,竹籃仔撈水－一場空
2,第一銀行－錢仔頭
3,筒箍散開－散斗
3,算盤子－無大無細
3,算盤扑呣著－誤算
3,算盤扑過徑－誤算
3,算盤籽－無大無細
1,籠床內摕粿－穩著的
3,籠床崁蓋－袂衝
1,籠床提粿－穩著兮
1,籠床提粿－穩著的
3,籠床蓋崁無隔峇－落氣
3,籠床蓋蓋無合－漏喟
3,籠床貓－顧粿
3,籤擔擔布袋－雙頭吐(雙頭土)
3,米甕仔當鐃－無米可煮
3,米甕弄鐃－空空
3,米甕摃銅鐘－空空
3,米篩目包餡－朆做咧
3,米篩苜包餡－袂做得
3,米篩－百百空
3,米粉筒－(百百孔)代誌真多
3,米粉筒－百百空
3,米缸仔摃銅鐘－空空空
2,紅毛塗攪水－(搞硬)搞定
2,紅毛塗攪水－摑碇(決定)
2,紅毛塗攪砂－(結硬)決定
3,紅龜包鹹菜－無好貨
1,紅龜抹油－媠面
1,紅龜抹油－嫷面
1,紅龜抹油－水面
3,紅龜粿包鹹菜－無好貨
1,紅龜粿抹油－媠面
3,細姨仔囝－毋值錢
2,細姨講話－小說
2,細碗食飯－(靠添)靠天
1,線穿針－拄仔好
2,縣老爺審老爹－公事公辦
3,縣老爺落轎－(步行)不行
2,總烳師返去－(呣加你炒)呣加你吵
1,缺喙仔賣蜊仔肉－峇仔峇
3,缺喙兮哺蛟蚤－無死嘛驚一下
3,缺喙兮講話－落氣
1,缺喙兮賣蜊仔肉－峇仔峇
2,缺喙兮賣鹹菜－險害
3,缺喙兮食米粉－看現現
3,缺喙兮食麵－看現現
3,缺喙兮－歹唚(歹心)
2,缺喙叫妹婿－密煞
2,缺喙的賣鹹菜－險害
2,缺喙興留喙鬚－(假勢)架勢
1,缺喙賣蜊肉－合合
1,缺喙食薰－(有噗)有譜
1,缺喙食蜊仔肉－峇峇
3,缺喙食鹹菜－(好鹹)好險
3,缺喙－(歹唚)歹心
3,缺嘴兮興鬍鬚－假爻
1,缺嘴歕鼓吹－合合
1,缺齒吃蛤肉－密密
1,缺齒食蝲仔肉－密密
3,羅漢請觀音－一客九主人
3,羅漢骹仔請觀音－一客九主人
